name,status,street,city,state,zip,phone,Latitude,Longitude,"Accuracy Score",Street,City,State,County,Zip
"252 West Salon And Medspa","Eufora semi exclusive","252 W Franklin St",Centevile,OH,45459,937-433-9378,40.644174,-81.365254,0.22," ",Sandyville,OH,"Tuscarawas County",44671
"3 Bowls of Color","Eufora semi exclusive","12638 5 Jefferson Ave","Newport News",VA,23602,757-890-3090,37.133333018519,-76.516042401235,0.8,"12638 5 Jefferson Ave","Newport News",VA,"Newport News city",23602
"4 Elements Salon","Eufora semi exclusive","544 N Milwaukee",Chicago,IL,60642,312-432-9600,41.883073,-87.629149,0.33," ",Chicago,IL,"Cook County",60602
"75 West Salon",,"75 West Main Street",Somerville,NJ,08807,"(908) 243-0001",40.568912636364,-74.614209909091,1,"75 W Main St",Somerville,NJ,"Somerset County",08876
"A and K Salon",,"228 Liberty St",Franklin,PA,16323,814-434-3399,41.380023375,-79.821637125,1,"228 Liberty St",Franklin,PA,"Venango County",16323
"A Beautiful Day",,"885 Main St",Tweksbury,MA,01876,978-858-0089,,,0,,,,,
"A Bella",,"601 Ninth Street","Ocean City",NJ,08226,"(609) 399-6999",39.277707,-74.574745,1,"601 9th St","Ocean City",NJ,"Cape May County",08226
"A Cut Above",,"105 S Wright",Orfordville,WI,53576,"(608) 879-2076",42.614273,-89.233129,0.33," ",Orfordville,WI,"Rock County",53576
"A K Studio Workshop","Eufora exclusive","4340 E Kentucky Ave Suite 346",Glendale,CO,80246,303-996-8070,39.700193517588,-104.94006357789,1,"4340 E Kentucky Ave",Denver,CO,"Denver County",80246
"A New Angle Wellness Salon And Spa","Eufora exclusive","1114 Bowers Ave","New Philadelphia",OH,44663,330-364-5759,40.505300724138,-81.461397862069,1,"1114 Bowers Ave","New Philadelphia",OH,"Tuscarawas County",44663
"A Nu Do","Eufora exclusive","119 W Bridge St",Brighton,CO,80601,303-835-2375,39.986821,-104.822457,1,"119 W Bridge St",Brighton,CO,"Adams County",80601
"Aan Dora",,"164 Summer St",Kingston,MA,2364,978-582-0199,42.009351166667,-70.731430333333,1,"164 Summer St",Kingston,MA,"Plymouth County",02364
"Abby Carranza",,"936 South Main Street",Salinas,CA,93901,831-759-2200,36.664054913043,-121.65727523913,0.8,"936 S Main St",Salinas,CA,"Monterey County",93901
Abracadabra,,"11006 S Cicero Ave","Oak Lawn",IL,60453,708-424-7801,41.691004510204,-87.73973377551,1,"11006 S Cicero Ave","Oak Lawn",IL,"Cook County",60453
"Abstrax Salon And Day Spa","Eufora semi exclusive","2970 North Swan Road  Suite 737",Tucson,AZ,85712,520-325-4662,32.260191285714,-110.89248542857,1,"2970 N Swan Rd",Tucson,AZ,"Pima County",85712
Acappella,"Eufora exclusive","28780 Old Town Front Street",Temecula,CA,92590,951-676-5980,33.498547238095,-117.15360628571,1,"28780 Old Town Front St",Temecula,CA,"Riverside County",92590
"Accent Of Style","Eufora semi exclusive","3210 Denali   Ste Suite D585",Anchorage,AK,99503,907-561-3434,61.205284,-149.771928,0.33," ",Anchorage,AK,"Anchorage Municipality",99504
